"AGE","GEO","TIME","SEX","UNIT","Value"
"Total","Euro area (19 countries)","1972","Total","Number",":"
"Total","Euro area (19 countries)","1972","Males","Number",":"
"Total","Euro area (19 countries)","1972","Females","Number",":"
"Total","Euro area (19 countries)","1973","Total","Number",":"
"Total","Euro area (19 countries)","1973","Males","Number",":"
"Total","Euro area (19 countries)","1973","Females","Number",":"
"Total","Euro area (19 countries)","1974","Total","Number",":"
"Total","Euro area (19 countries)","1974","Males","Number",":"
"Total","Euro area (19 countries)","1974","Females","Number",":"
"Total","Euro area (19 countries)","1975","Total","Number","293.874.224"
"Total","Euro area (19 countries)","1975","Males","Number",":"
"Total","Euro area (19 countries)","1975","Females","Number",":"
"Total","Euro area (19 countries)","1976","Total","Number","295.212.458"
"Total","Euro area (19 countries)","1976","Males","Number",":"
"Total","Euro area (19 countries)","1976","Females","Number",":"
"Total","Euro area (19 countries)","1977","Total","Number","296.348.308"
"Total","Euro area (19 countries)","1977","Males","Number","143.482.300"
"Total","Euro area (19 countries)","1977","Females","Number","152.866.008"
"Total","Euro area (19 countries)","1978","Total","Number","297.555.091"
"Total","Euro area (19 countries)","1978","Males","Number","144.070.349"
"Total","Euro area (19 countries)","1978","Females","Number","153.484.742"
"Total","Euro area (19 countries)","1979","Total","Number","298.772.287"
"Total","Euro area (19 countries)","1979","Males","Number","144.673.096"
"Total","Euro area (19 countries)","1979","Females","Number","154.099.191"
"Total","Euro area (19 countries)","1980","Total","Number","300.026.000"
"Total","Euro area (19 countries)","1980","Males","Number","145.326.242"
"Total","Euro area (19 countries)","1980","Females","Number","154.699.758"
"Total","Euro area (19 countries)","1981","Total","Number","301.426.708"
"Total","Euro area (19 countries)","1981","Males","Number","146.070.251"
"Total","Euro area (19 countries)","1981","Females","Number","155.356.457"
"Total","Euro area (19 countries)","1982","Total","Number","302.419.395"
"Total","Euro area (19 countries)","1982","Males","Number","146.564.985"
"Total","Euro area (19 countries)","1982","Females","Number","155.854.410"
"Total","Euro area (19 countries)","1983","Total","Number","303.140.259"
"Total","Euro area (19 countries)","1983","Males","Number",":"
"Total","Euro area (19 countries)","1983","Females","Number",":"
"Total","Euro area (19 countries)","1984","Total","Number","303.600.009"
"Total","Euro area (19 countries)","1984","Males","Number","147.111.252"
"Total","Euro area (19 countries)","1984","Females","Number","156.488.757"
"Total","Euro area (19 countries)","1985","Total","Number","304.049.567"
"Total","Euro area (19 countries)","1985","Males","Number","147.320.739"
"Total","Euro area (19 countries)","1985","Females","Number","156.728.828"
"Total","Euro area (19 countries)","1986","Total","Number","304.640.663"
"Total","Euro area (19 countries)","1986","Males","Number","147.642.376"
"Total","Euro area (19 countries)","1986","Females","Number","156.998.287"
"Total","Euro area (19 countries)","1987","Total","Number","305.452.191"
"Total","Euro area (19 countries)","1987","Males","Number","148.082.914"
"Total","Euro area (19 countries)","1987","Females","Number","157.369.277"
"Total","Euro area (19 countries)","1988","Total","Number","306.227.897"
